"","Site","time","mean_temp","sd_temp","mean_SpC","sd_SpC","prc_wet"
"1","IP1","t1",21.7583547149123,1.62875488783316,54.8342827154088,2.71097156549488,1
"2","IP2","t1",21.6382664473684,1.46130754585001,102.334803659675,45.5354635180615,1
"3","CP1","t1",21.8185899122807,1.71907238461663,52.410439338765,2.64195708428388,1
"4","CP2","t1",21.6851151315789,1.73772976496686,49.3406134819653,2.34979429220037,1
"5","IR1","t1",21.7716134868421,1.62619752043978,61.8639917714596,31.2024159305352,1
"6","IR2","t1",21.7459024122807,1.64474631353624,47.7941637024097,2.47706467811517,1
"7","CR1","t1",21.8548536184211,1.77645368098918,49.9079783959333,2.86071444949679,1
"8","CR2","t1",21.7647697368421,1.75198312825003,51.973757488869,2.79382316038349,1
"9","IT1","t1",22.8287735745614,3.15069013915714,38.830101325367,11.6778135686709,0.817434210526316
"10","IT2","t1",23.3622708333333,3.56461007309853,23.4258037215998,6.36397819493247,0.471491228070175
"11","CT1","t1",22.8314808114035,3.12417815706217,42.5806671336729,18.6191501249613,1
"12","CT2","t1",23.3242182017544,3.5997120943841,16.2073054478201,3.34093889378257,0.105263157894737
"13","IP1","t2a",22.4291831140351,0.715755062358854,69.7804358878526,28.9912751984962,1
"14","IP2","t2a",22.4536776315789,0.670789831914411,165.344271213409,19.2274120236359,1
"15","CP1","t2a",23.1853854166667,1.1777758597851,54.5764185229709,1.32870378147552,1
"16","CP2","t2a",23.060235745614,1.20502897510575,52.062959951659,1.40428893114072,1
"17","IR1","t2a",22.8159703947368,0.903728550889281,66.3083232026855,28.9814634655497,1
"18","IR2","t2a",22.8547012061404,0.923007679366587,51.1022851276701,1.53821343206506,1
"19","CR1","t2a",23.2445032894737,1.22550112400034,51.9790627695698,1.60007046643959,1
"20","CR2","t2a",23.1378974780702,1.21723163868704,54.3697451301477,1.54608904340856,1
"21","IT1","t2a",23.7527834429825,2.08569213305014,44.8114211292397,20.2780140136934,0.824013157894737
"22","IT2","t2a",24.1155942982456,2.4893082014641,21.1813923862883,7.03082300388613,0.286732456140351
"23","CT1","t2a",23.7878930921053,2.05924625849565,51.9251352642919,10.2284255829134,1
"24","CT2","t2a",24.0452631578947,2.35701162634775,16.2638790463056,2.75526023741596,0.110197368421053
"25","IP1","t2b",22.2748441840278,0.569416849072667,76.7349167898617,35.8129563386995,1
"26","IP2","t2b",22.3938875868056,0.560085930184092,147.937042351194,35.1720451698987,1
"27","CP1","t2b",23.3536519097222,1.14334307580211,55.1462101572173,1.47382725040431,1
"28","CP2","t2b",23.2411050347222,1.16311074891186,52.9050157386647,1.51912195515874,1
"29","IR1","t2b",22.8254427083333,0.882998395768082,59.7971456470249,11.3344026756964,1
"30","IR2","t2b",22.8801822916667,0.86536774726714,54.4525684717093,5.42999934109204,1
"31","CR1","t2b",23.3956961805556,1.22458097955106,52.5915008111573,1.44190164571659,1
"32","CR2","t2b",23.3184895833333,1.17325542252067,55.4060661650656,1.83084861179677,1
"33","IT1","t2b",23.7253819444444,2.01364329101976,49.4812373129134,15.5668857950967,0.970486111111111
"34","IT2","t2b",24.0726158854167,2.38480200957283,23.6221967254294,6.76322480120847,0.4453125
"35","CT1","t2b",23.7865915798611,2.02843569354919,55.123908493977,7.54307429493521,1
"36","CT2","t2b",23.9534826388889,2.24694193005539,15.8109674406367,0.777236972206815,0.110243055555556
"37","IP1","t3",23.3014291666667,0.707743783687972,61.9757584902908,12.0870122614312,1
"38","IP2","t3",23.2776026041667,0.555283413680427,79.0960716327304,30.6643510983292,1
"39","CP1","t3",23.6985421875,0.89837503776822,56.403147554717,1.05026390207187,1
"40","CP2","t3",23.5785854166667,0.893681632831677,53.5940092539996,1.06201735729561,1
"41","IR1","t3",23.465753125,0.730310367888307,57.1957363262243,0.99528518178803,1
"42","IR2","t3",23.488015625,0.73607446943928,56.4708521600745,3.07818299639298,1
"43","CR1","t3",23.68393125,1.10066626866601,54.2376212232798,1.36177363359473,1
"44","CR2","t3",23.6619713541667,0.917232781647754,58.4493162005277,1.51086632255774,1
"45","IT1","t3",23.9058723958333,1.96448486469213,41.6369804690123,25.240708788048,0.743229166666667
"46","IT2","t3",24.2200848958333,2.388888213346,20.1489219093326,5.73240474783162,0.291666666666667
"47","CT1","t3",24.0009697916667,2.06418491753072,15.2215779035908,0.201658835791278,0
"48","CT2","t3",24.0126166666667,2.13577693184194,15.7351152478677,0.551816942354376,0.0192708333333333
